Eingabehilfe,Checksummer neu,Neuer Checksummer 64 – blitzschnell,2/85,63,,
Eingabehilfe,Eingabehilfe,Checksummer – keine Fehler,1/85,4,,
Buchbesprechungen,Anwendung,Multiplan für den Commodore 128 PC,9,92,,
Buchbesprechungen,C128,Bücher zum C128,1/86,92,,
Buchbesprechungen,C128,C128-ROM-Listing,12,91,,
Buchbesprechungen,C128,C128: Programmieren in Maschinensprache,12,91,,
Buchbesprechungen,C16/VC20,Bücher zum C16 und VC20,3/86,52,,
Buchbesprechungen,C64,Assemblerprogrammierung auf dem C64,12,92,,
Buchbesprechungen,C64,Erfolgreicher mit dem C64 arbeiten,12,92,,
Buchbesprechungen,C64/SX64,C64/SX64 Computer Handbuch,12,91,,
Buchbesprechungen,Datei,dBASE II für den Commodore 128 PC,9,92,,
Buchbesprechungen,Datei,Die Dateiverwaltung für den C64 & C128,9,93,,
Buchbesprechungen,Digitaltechnik,"Fachbuchreihe, Elektronik, Band 4: Digit",13,81,,
Buchbesprechungen,Diskette,C1571 & 1570: Das große Floppybuch,9,93,,
Buchbesprechungen,Diskette,Die Floppy 1541,9,93,,
Buchbesprechungen,Diskette,Die Floppy 1570/71,9,92,,
Buchbesprechungen,Diskette,Die Floppy des Commodore 64 und VC20,9,92,,
Buchbesprechungen,Diskette,Floppy VC 1541,9,93,,
Buchbesprechungen,Einsteiger,Basic-Grundkurs mit dem C64,5/86,185,,
Buchbesprechungen,Einsteiger,C64 Computer Handbuch,5/86,185,,
Buchbesprechungen,Einsteiger,Computerlösungen für Schule und Studium,5/86,186,,
Buchbesprechungen,Einsteiger,Das Data-Becker-Lexikon zum Commodore 64,5/86,186,,
Buchbesprechungen,Einsteiger,Das Kassettenbuch,5/86,186,,
Buchbesprechungen,Einsteiger,Das Schulbuch zum C64,5/86,186,,
Buchbesprechungen,Einsteiger,Wie arbeite ich mit dem C128,10,27,,
Buchbesprechungen,Elektronik,Fachkunde für Informationselektronik,13,80,,
Buchbesprechungen,Elektronik,Halbleiter Schaltungstechnik,13,80,,
Buchbesprechungen,Elektronik,Halbleiter Schaltungstechnik,13,80,,
Buchbesprechungen,Elektronik,Heimcomputer Bastelkiste,13,81,,
Buchbesprechungen,Elektronik,Lexikon der modernen Elektronik,13,82,,
Buchbesprechungen,Elektronik,Taschenbuch integrierter Schaltungen,13,82,,
Buchbesprechungen,Elektronik,Werkbuch Elektronik,13,81,,
Buchbesprechungen,Grafik,C64: Wunderland der Grafik,6/86,142,,
Buchbesprechungen,Grafik,Commodore 128: Das große Grafik-Buch,6/86,142,,
Buchbesprechungen,Grafik,Commodore 64: Grafik und Design,6/86,142,,
Buchbesprechungen,Grafik,Einführung in CAD mit dem C64,6/86,143,,
Buchbesprechungen,Grafik,Grafik in Maschinensprache auf dem C64,6/86,143,,
Buchbesprechungen,Grafik,Grafikprogrammierung C128,6/86,142,,
Buchbesprechungen,Grafik,Mini-CAD mit Hi-Eddi plus auf dem C64,6/86,143,,
Buchbesprechungen,Programmiersprachen,Pascal mit dem C64,12,92,,
Buchbesprechungen,Reparaturanleitung,Reparaturanleitung: Commodore 64 und VIC,13,80,,
Buchbesprechungen,Spiele,50 Video Spiele ausführlich erklärt,5/86,185,,
Buchbesprechungen,Sprachen,Der Einstieg in C,10,27,,
Buchbesprechungen,Sprachen,Turbo Pascal,10,27,,
Buchbesprechungen,Textverarbeitung,Textverarbeitung mit ProText auf dem C128,10,27,,
Buchbesprechungen,Vergleichstabelle,Daten und Vergleichstabellen,13,82,,
Buchbesprechungen,Vergleichstabelle,ECA-DDV,13,82,,
Buchbesprechungen,Vergleichstabelle,ECA-TVT,13,82,,
Buchbesprechungen,Vergleichstabelle,Transistor-Taschen-Tabelle,13,82,,
Abenteuerlösungen,Adventurelösungen,Enchanter ist gelöst!,2/85,126,,
Abenteuerlösungen,Adventurelösungen,Die Lösung von Hobbit,2/85,126,,
Abenteuerlösungen,Adventurelösungen,Gruds in Space,2/85,122,,
Abenteuerlösungen,Adventurelösungen,Pirate Adventure,2/85,122,,
Abenteuerlösungen,Adventurelösungen,Voodoo Castle,2/85,121,,
Abenteuerlösungen,Adventurelösungen,Critical Mass,2/85,121,,
Abenteuerlösungen,Adventurelösungen,Mask of the Sun,2/85,121,,
Abenteuerlösungen,Adventurelösungen,So löse ich Ultima III,2/85,119,,
