section	subsection	title	pages	disk
AKTUELLES		Commodore: Stark wie eh und je	8	no
AKTUELLES		DFU-News	12	no
AKTUELLES		Neue Produkte	13	no
HARDWARE-TEST		Microline 182	20	no
HARDWARE-TEST		Star NL-10	21	no
HARDWARE-TEST		So testen wir - Unsere Referenzdrucker	23	no
MESSEN - STEUERN - REGELN		C 64: Steuermann und Messknecht - Grundlagen und Beispiele: Der Computer greift um sich	25	no
MESSEN - STEUERN - REGELN		Die Sinne eines Computers	27	no
MESSEN - STEUERN - REGELN		Begriffserklaerungen zu Messen - Steuern - Regeln	30	no
MESSEN - STEUERN - REGELN		Computer im Physikunterricht	32	no
MESSEN - STEUERN - REGELN		Computergesteuerte Modellbahn: Freie Fahrt fuer D595	34	no
MESSEN - STEUERN - REGELN		Digitalvoltmeter fuer den C 64/C 128	36	no
MESSEN - STEUERN - REGELN		Speicheroszilloskop	36	no
MESSEN - STEUERN - REGELN		Die Zeit bleibt auch in Diskotheken nicht stehen	37	no
HARDWARE		Super-Platinen im Selbstbau: CMOS-RAM-Platine	38	no
HARDWARE		Platinenaetzen leichtgemacht	40	no
HARDWARE		4fach Betriebssystem-Umschaltung: Quadrophonie im Betriebssystem	48	no
WETTBEWERBE		Listing des Monats: Neue Serie - Basic-Baukasten zum Abtippen: Hypra-Basic	49	yes
WETTBEWERBE		Anwendung des Monats: Quizmaster - Die Hilfe bei Lernproblemen	50	yes
WETTBEWERBE		GameMaker Programmierwettbewerb	148	no
WETTBEWERBE		Aufruf: Sind Sie ein Geheimniskraemer	166	no
WETTBEWERBE		Aufloesung: Die schoenste Blockgrafik	172	no
LISTINGS ZUM ABTIPPEN		Anwendung des Monats: Quizmaster	52	yes
LISTINGS ZUM ABTIPPEN		Listing des Monats: Der Basic-Baukasten zum Abtippen: Hypra-Basic	58	yes
LISTINGS ZUM ABTIPPEN		Grafik Druckprogramm zu Database	63	yes
LISTINGS ZUM ABTIPPEN		Hardmaker - Hardcopy-Programm fuer MPS801 und MPS803	67	yes
TIPS UND TRICKS	Tips und Tricks fuer Einsteiger	Datasette richtig justiert	76	no
TIPS UND TRICKS	Tips und Tricks fuer Einsteiger	Betrifft: Joystick	76	no
TIPS UND TRICKS	Tips und Tricks fuer Einsteiger	Elektronisches Tagebuch	76	yes
TIPS UND TRICKS	Tips und Tricks fuer Profis	Super-Einzeiler	78	yes
TIPS UND TRICKS	Tips und Tricks zum C 128	PRINT AT oder CHAR?	81	no
TIPS UND TRICKS	Tips und Tricks zum C 128	SYS's und POKEs	82	no
TIPS UND TRICKS	Tips und Tricks zum C 128	Programmschutz	82	no
TIPS UND TRICKS	Tips und Tricks zum C 128	Einfache Sprite-Steuerung	82	no
TIPS UND TRICKS	Tips und Tricks zum C 128	Deutscher Zeichensatz im C 64-Modus	82	no
TIPS UND TRICKS	Tips und Tricks zum C 128	Autochange fuer C 128	84	yes
TIPS UND TRICKS	Tips und Tricks zum C 16	Programmierbarer Zeichensatz	83	no
TIPS UND TRICKS	Tips und Tricks	Apfelmaennchens Diashow	84	yes
TIPS UND TRICKS	Tips und Tricks	Das Mass der Dinge	85	yes
TIPS UND TRICKS	Tips und Tricks	Tips und Tricks zum EPROMer	90	no
64'ER-EXTRA		Der Expansion-Port des C 64	93	no
KURSE		Pascal-Kurs fuer Anfaenger (Teil 2)	129	no
KURSE		Von Basic zu Assembler (Teil 3)	133	no
KURSE		Kennen Sie Ihren C 64? (Teil 2)	142	no
SPIELE-TEST		Profi-Spiele ganz leicht gemacht: GameMaker	146	no
SPIELE-TEST		Simulation Revs und Jet	151	no
SPIELE-TEST		Billigspiele M.A.D.-Games	154	no
SPIELE-TEST		Bildschirmkrieg: Rambo und Space Invasion	156	no
SOFTWARE-TEST		StarDatei	149	no
SOFTWARE-HILFEN		Tips und Tricks zu Vizawrite (Teil 4)	159	no
SOFTWARE-HILFEN		Superbase (Teil 1)	166	no
SOFTWARE-HILFEN		Aufruf: Sind Sie ein Geheimniskraemer	166	no
RUBRIKEN		Editorial	1	no
RUBRIKEN		Leserforum	16	no
RUBRIKEN		Buecher	66,126	no
RUBRIKEN		Fehlerteufelchen	18,73	no
RUBRIKEN		Programm-Service	175	no
RUBRIKEN		Hardware-Service	178	no
RUBRIKEN		Impressum	179	no
RUBRIKEN		Vorschau 5/86	180	no
