level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3508	-1	
2	1	1	0	0	0	172	194	697	8	-1	
3	1	1	1	0	0	172	194	697	8	-1	
4	1	1	1	1	0	172	194	697	8	-1	
5	1	1	1	1	1	172	194	697	8	95.000000	 
2	1	2	0	0	0	894	121	683	72	-1	
3	1	2	1	0	0	894	121	683	72	-1	
4	1	2	1	1	0	894	121	683	72	-1	
5	1	2	1	1	1	894	133	365	60	96.447159	Anwendung
5	1	2	1	1	2	1287	134	74	47	96.200661	des
5	1	2	1	1	3	1428	121	149	60	26.051092	Mona
2	1	3	0	0	0	0	0	2480	14	-1	
3	1	3	1	0	0	0	0	2480	14	-1	
4	1	3	1	1	0	0	0	2480	14	-1	
5	1	3	1	1	1	0	0	2480	14	95.000000	 
2	1	4	0	0	0	2198	135	162	55	-1	
3	1	4	1	0	0	2198	135	162	55	-1	
4	1	4	1	1	0	2198	135	162	55	-1	
5	1	4	1	1	1	2198	135	41	55	72.091057	C
5	1	4	1	1	2	2271	137	89	53	94.384720	64
2	1	5	0	0	0	1370	191	992	14	-1	
3	1	5	1	0	0	1370	191	992	14	-1	
4	1	5	1	1	0	1370	191	992	14	-1	
5	1	5	1	1	1	1370	191	992	14	95.000000	 
2	1	6	0	0	0	290	281	1940	354	-1	
3	1	6	1	0	0	290	281	1940	355	-1	
4	1	6	1	1	0	769	281	981	156	-1	
5	1	6	1	1	1	769	281	779	156	74.462135	Quizmaster
5	1	6	1	1	2	1605	361	145	28	90.484970	—
4	1	6	1	2	0	290	453	1940	182	-1	
5	1	6	1	2	1	290	453	214	141	96.652664	die
5	1	6	1	2	2	567	454	314	141	96.766602	Hilfe
5	1	6	1	2	3	944	455	210	141	93.296616	bei
5	1	6	1	2	4	1220	458	1010	177	84.914619	Lernproblemen
2	1	7	0	0	0	333	689	1867	120	-1	
3	1	7	1	0	0	333	689	1867	120	-1	
4	1	7	1	1	0	333	689	1867	60	-1	
5	1	7	1	1	1	333	689	65	43	96.568108	Der
5	1	7	1	1	2	417	689	190	54	96.871231	Computer
5	1	7	1	1	3	626	691	53	42	96.794273	als
5	1	7	1	1	4	702	691	221	43	96.715538	universeller
5	1	7	1	1	5	944	692	225	54	93.270706	Fragebogen
5	1	7	1	1	6	1194	714	40	7	93.270706	—
5	1	7	1	1	7	1258	692	40	43	96.963058	Er
5	1	7	1	1	8	1318	692	69	43	95.236542	hilft
5	1	7	1	1	9	1407	693	106	43	96.389877	Ihnen
5	1	7	1	1	10	1536	693	54	43	96.689484	bei
5	1	7	1	1	11	1611	694	95	42	93.271973	Ihren
5	1	7	1	1	12	1728	692	472	57	92.929863	Prüfungsvorbereitungen,
4	1	7	1	2	0	745	753	1041	56	-1	
5	1	7	1	2	1	745	753	93	43	96.498947	kann
5	1	7	1	2	2	859	754	86	42	96.993874	aber
5	1	7	1	2	3	965	754	140	43	96.944420	ebenso
5	1	7	1	2	4	1125	754	55	43	93.264374	als
5	1	7	1	2	5	1202	754	184	55	92.576759	Party-Gag
5	1	7	1	2	6	1408	754	205	44	96.659927	verwendet
5	1	7	1	2	7	1633	755	153	44	96.785599	werden.
2	1	8	0	0	0	171	860	1066	7	-1	
3	1	8	1	0	0	171	860	1066	7	-1	
4	1	8	1	1	0	171	860	1066	7	-1	
