# Editorial (Chefredakteur) gets ""
8 Ja oder nein ....html	

# Aktuelles
8 BRANDNEU-AUS DEN USA.html	Aktuelles
12 Aktuelles.html	Aktuelles
13 Neues aus dem Sumpf.html	Aktuelles

# Hardware-Test
20 EX-800 — neuer Standard für Drucker.html	Hardware-Test
22 So schnell wie der Wind....html	Hardware-Test

# Schule und Computer
24 Der Computer hält Einzug in die Schule.html	Schule und Computer
26 Abstecher in die Forschung.html	Schule und Computer
27 Ferienzeit — Computerzeit.html	Schule und Computer
28 Computer-Bildungsreisen.html	Schule und Computer
29 EDV für Lehrer.html	Schule und Computer
33 Lernsoftware im Test.html	Schule und Computer
36 Die Qual Markt der Wahl_ Übersicht Lernsoftware.html	Schule und Computer

# Programmiersprachen
41 Comal im Brennpunkt.html	Programmiersprachen
44 Urwald.html	Programmiersprachen
141 C für Profis.html	Programmiersprachen
142 Small C – der C-Compiler für Systemprogrammierer.html	Programmiersprachen

# Wettbewerbe (contest + call-for-submission announcements)
155 Aufgepaßt_ Großer Knobel-Wettbewerb.html	Wettbewerbe
157 Wir suchen die Anwendung des Monats.html	Wettbewerbe
157 Einmal im Monat gibt es 2000 Mark für das Listing des Monats.html	Wettbewerbe
158 Ihre Meinung ist gefragt.html	Wettbewerbe
161 20 Drucker für die Schule.html	Wettbewerbe

# Listings zum Abtippen — Listing/Anwendung des Monats (featured apps)
52 Vokabel-Trainer.html	Listings zum Abtippen|Listing des Monats
50 Digi-Controller.html	Listings zum Abtippen|Anwendung des Monats

# Listings zum Abtippen — Tips & Tricks (collapsed granularity)
66 HiRes im Griff.html	Listings zum Abtippen|Tips & Tricks
74 Tips &amp; Tricks zum C16,C 116, Plus_4.html	Listings zum Abtippen|Tips & Tricks
75 Tips &amp; Tricks für Einsteiger.html	Listings zum Abtippen|Tips & Tricks
77 Tips &amp; Tricks für Profis.html	Listings zum Abtippen|Tips & Tricks
82 Umschaltbares 64'er-DOS.html	Listings zum Abtippen|Tips & Tricks
91 MPS-Support jetzt auch für den MPS802.html	Listings zum Abtippen|Tips & Tricks
91 Hypra-Basic wird strukturiert.html	Listings zum Abtippen|Tips & Tricks

# Listings zum Abtippen — bare (series/courses without a print sub-header)
69 Reise durch den C128 (Teil 4).html	Listings zum Abtippen
128 Programmieren Sie strukturiert – Teil 4_ Die Modulbausteine.html	Listings zum Abtippen
136 Streifzüge durch die Grafikwelt (Teil 5).html	Listings zum Abtippen

# 64'er-Extra
84 64'er Extra.html	64'er-Extra

# Spieletest
146 Billiges Vergnügen_.html	Spieletest

# Software-Hilfen
149 Superbase 64 (Teil 5).html	Software-Hilfen
153 Tips und Tricks zu Vizawrite 64.html	Software-Hilfen

# Kurse
48 Die Axt im Haus... (1).html	Kurse

# Rubriken
17 Leserforum.html	Rubriken
68 Fehlerteufelchen.html	Rubriken
126 Bücher.html	Rubriken
154 Attraktiver C 64 sucht Dame ....html	Rubriken
164 Vorschau.html	Rubriken
