p002: cached labels are for different blocks, re-asking
p003: cached labels are for different blocks, re-asking
p004: kind=ad       kept 0/27 blocks, 0 chars
p001: kind=toc      kept 0/4 blocks, 0 chars
p006: cached labels are for different blocks, re-asking
p005: kind=ad       kept 0/19 blocks, 0 chars
p007: cached labels are for different blocks, re-asking
p003: kind=other    kept 0/14 blocks, 0 chars
p007: kind=toc      kept 0/16 blocks, 0 chars
p008: kind=article  kept 10/15 blocks, 5735 chars
p009: kind=article  kept 14/18 blocks, 7081 chars
p011: cached labels are for different blocks, re-asking
p010: kind=article  kept 27/38 blocks, 5078 chars
p002: kind=ad       kept 0/21 blocks, 0 chars
p012: kind=article  kept 19/26 blocks, 6935 chars
p014: cached labels are for different blocks, re-asking
p013: kind=article  kept 9/12 blocks, 9367 chars
p006: kind=toc      kept 0/63 blocks, 0 chars
p015: kind=article  kept 33/38 blocks, 6354 chars
p017: cached labels are for different blocks, re-asking
p016: kind=article  kept 29/32 blocks, 7416 chars
p018: cached labels are for different blocks, re-asking
p017: kind=ad       kept 0/17 blocks, 0 chars
p011: kind=article  kept 18/22 blocks, 6897 chars
p020: cached labels are for different blocks, re-asking
p018: kind=article  kept 7/15 blocks, 4556 chars
p021: cached labels are for different blocks, re-asking
p019: kind=article  kept 15/22 blocks, 5216 chars
p014: kind=ad       kept 0/10 blocks, 0 chars
p023: cached labels are for different blocks, re-asking
p022: kind=article  kept 14/41 blocks, 3690 chars
p024: cached labels are for different blocks, re-asking
p020: kind=ad       kept 0/40 blocks, 0 chars
p025: kind=mixed    kept 4/15 blocks, 3737 chars
p026: cached labels are for different blocks, re-asking
p024: kind=article  kept 10/22 blocks, 3134 chars
p027: cached labels are for different blocks, re-asking
p023: kind=article  kept 10/30 blocks, 3912 chars
p028: cached labels are for different blocks, re-asking
p021: kind=article  kept 13/26 blocks, 4438 chars
p029: cached labels are for different blocks, re-asking
p026: kind=ad       kept 0/15 blocks, 0 chars
p030: cached labels are for different blocks, re-asking
p027: kind=article  kept 7/21 blocks, 3320 chars
p031: cached labels are for different blocks, re-asking
p030: kind=article  kept 4/12 blocks, 2244 chars
p032: kind=article  kept 11/25 blocks, 5120 chars
p033: cached labels are for different blocks, re-asking
p028: kind=article  kept 5/38 blocks, 1660 chars
p034: kind=article  kept 8/12 blocks, 2641 chars
p035: cached labels are for different blocks, re-asking
p029: kind=article  kept 10/60 blocks, 2991 chars
p036: cached labels are for different blocks, re-asking
p031: kind=article  kept 6/26 blocks, 3016 chars
p037: kind=article  kept 0/106 blocks, 0 chars
p038: cached labels are for different blocks, re-asking
p035: kind=article  kept 0/76 blocks, 0 chars
p039: cached labels are for different blocks, re-asking
p036: kind=article  kept 0/64 blocks, 0 chars
p040: cached labels are for different blocks, re-asking
p033: kind=article  kept 14/33 blocks, 5198 chars
p041: kind=mixed    kept 5/23 blocks, 2730 chars
p042: kind=article  kept 11/27 blocks, 3845 chars
p043: cached labels are for different blocks, re-asking
p038: kind=article  kept 0/65 blocks, 0 chars
p044: cached labels are for different blocks, re-asking
p039: kind=article  kept 7/30 blocks, 2777 chars
p045: cached labels are for different blocks, re-asking
p044: kind=ad       kept 0/15 blocks, 0 chars
p040: kind=article  kept 5/27 blocks, 2998 chars
p046: kind=article  kept 7/19 blocks, 3676 chars
p043: kind=article  kept 9/26 blocks, 4709 chars
p047: kind=ad       kept 0/1 blocks, 0 chars
p048: kind=article  kept 7/20 blocks, 3276 chars
p051: cached labels are for different blocks, re-asking
p050: kind=article  kept 8/14 blocks, 7000 chars
p052: cached labels are for different blocks, re-asking
p049: kind=ad       kept 0/11 blocks, 0 chars
p053: cached labels are for different blocks, re-asking
p045: kind=ad       kept 0/11 blocks, 0 chars
p054: cached labels are for different blocks, re-asking
p053: kind=article  kept 0/30 blocks, 0 chars
p055: cached labels are for different blocks, re-asking
p052: kind=article  kept 5/38 blocks, 4529 chars
p054: kind=article  kept 9/27 blocks, 3529 chars
p057: cached labels are for different blocks, re-asking
p056: kind=other    kept 0/63 blocks, 0 chars
p058: cached labels are for different blocks, re-asking
p051: 1 block(s) missing from LLM order, appended
p051: kind=mixed    kept 5/24 blocks, 3652 chars
p059: kind=article  kept 0/51 blocks, 0 chars
p060: cached labels are for different blocks, re-asking
p055: kind=article  kept 6/29 blocks, 4904 chars
p061: cached labels are for different blocks, re-asking
p057: kind=ad       kept 0/30 blocks, 0 chars
p062: cached labels are for different blocks, re-asking
p058: kind=article  kept 9/27 blocks, 3546 chars
p063: cached labels are for different blocks, re-asking
p060: kind=article  kept 2/36 blocks, 430 chars
p064: cached labels are for different blocks, re-asking
p061: kind=mixed    kept 13/38 blocks, 2767 chars
p065: kind=article  kept 17/39 blocks, 3723 chars
p066: cached labels are for different blocks, re-asking
p062: kind=article  kept 13/24 blocks, 5047 chars
p067: cached labels are for different blocks, re-asking
p063: kind=article  kept 10/31 blocks, 4566 chars
p068: kind=article  kept 6/15 blocks, 4875 chars
p069: cached labels are for different blocks, re-asking
p064: kind=article  kept 24/41 blocks, 3640 chars
p070: cached labels are for different blocks, re-asking
p066: kind=article  kept 13/27 blocks, 4908 chars
p071: cached labels are for different blocks, re-asking
p069: kind=ad       kept 0/24 blocks, 0 chars
p072: cached labels are for different blocks, re-asking
p067: kind=article  kept 10/31 blocks, 4410 chars
p073: kind=ad       kept 0/19 blocks, 0 chars
p074: cached labels are for different blocks, re-asking
p070: kind=article  kept 16/29 blocks, 6653 chars
p075: cached labels are for different blocks, re-asking
p071: kind=article  kept 5/55 blocks, 2999 chars
p076: cached labels are for different blocks, re-asking
p072: kind=article  kept 0/46 blocks, 0 chars
p077: cached labels are for different blocks, re-asking
p075: kind=article  kept 6/26 blocks, 3538 chars
p078: cached labels are for different blocks, re-asking
p074: kind=article  kept 0/54 blocks, 0 chars
p079: cached labels are for different blocks, re-asking
p076: kind=article  kept 18/29 blocks, 4310 chars
p080: kind=ad       kept 0/51 blocks, 0 chars
p081: cached labels are for different blocks, re-asking
p077: kind=article  kept 14/33 blocks, 2637 chars
p082: cached labels are for different blocks, re-asking
p078: kind=article  kept 0/20 blocks, 0 chars
p083: cached labels are for different blocks, re-asking
p079: 1 block(s) missing from LLM order, appended
p079: kind=article  kept 10/29 blocks, 2284 chars
p081: kind=ad       kept 0/26 blocks, 0 chars
p082: kind=article  kept 7/33 blocks, 4142 chars
p083: kind=article  kept 0/60 blocks, 0 chars
p085: kind=ad       kept 0/18 blocks, 0 chars
p084: kind=mixed    kept 5/60 blocks, 1283 chars
p086: kind=other    kept 0/30 blocks, 0 chars
p087: kind=ad       kept 0/24 blocks, 0 chars
p088: kind=article  kept 0/43 blocks, 0 chars
p090: kind=ad       kept 0/61 blocks, 0 chars
p089: kind=other    kept 0/44 blocks, 0 chars
p091: kind=article  kept 2/24 blocks, 82 chars
p092: kind=ad       kept 0/17 blocks, 0 chars
p093: kind=article  kept 6/27 blocks, 2948 chars
p094: kind=article  kept 4/27 blocks, 2380 chars
p095: kind=article  kept 5/24 blocks, 2065 chars
p096: kind=article  kept 6/20 blocks, 3679 chars
p097: kind=ad       kept 0/9 blocks, 0 chars
p099: kind=ad       kept 0/24 blocks, 0 chars
p098: kind=other    kept 0/53 blocks, 0 chars
p101: kind=ad       kept 0/38 blocks, 0 chars
p100: kind=mixed    kept 0/68 blocks, 0 chars
p102: kind=ad       kept 0/57 blocks, 0 chars
p105: kind=ad       kept 0/96 blocks, 0 chars
p103: kind=other    kept 0/84 blocks, 0 chars
p104: kind=other    kept 0/79 blocks, 0 chars
p106: kind=other    kept 0/68 blocks, 0 chars
p108: kind=other    kept 0/3 blocks, 0 chars
p109: kind=mixed    kept 0/46 blocks, 0 chars
p110: kind=ad       kept 0/41 blocks, 0 chars
p107: kind=other    kept 0/86 blocks, 0 chars
p111: kind=mixed    kept 0/76 blocks, 0 chars
p112: kind=mixed    kept 0/58 blocks, 0 chars
p113: kind=other    kept 0/87 blocks, 0 chars
p114: kind=ad       kept 0/87 blocks, 0 chars
p116: kind=ad       kept 0/59 blocks, 0 chars
p115: kind=mixed    kept 0/76 blocks, 0 chars
p117: kind=ad       kept 0/47 blocks, 0 chars
p118: kind=other    kept 0/65 blocks, 0 chars
p119: kind=ad       kept 0/58 blocks, 0 chars
